file,classification,consumers,notes
addr.h,move-core,"src/win32/winmain/gui_dialogs.cpp, src/common/trans.cpp, src/common/addr.cpp","Address utilities - move to src/core/net/ or src/infra/net/"
addr.cpp,move-core,"src/common/addr.cpp","Address implementation - move to src/core/net/"
addr_core.cpp,move-core,"CMakeLists.txt","Address core implementation - move to src/core/net/"
addr_list.cpp,move-core,"CMakeLists.txt","Address list implementation - move to src/core/net/"
addr_netaddr.cpp,move-core,"CMakeLists.txt","Address netaddr implementation - move to src/core/net/"
anongame_protocol.h,keep-wire,"src/protocol/bnet/src/anongame.cpp, src/protocol/bnet/src/anongame_tags.cpp","Wire protocol header - keep or move to src/protocol/bnet/include/"
bigint.cpp,plan-08,"src/common/bnetsrp3.cpp, src/common/bnethash.cpp","Crypto utility - defer to Plan 08"
bigint.h,plan-08,"src/common/bnetsrp3.h, src/common/bnethash.cpp","Crypto utility - defer to Plan 08"
bn_type.cpp,move-core,"src/common/bn_type.cpp","Type utilities - move to src/core/types/"
bn_type.h,move-core,"src/common/bnettime.h, src/common/bnethash.cpp, src/common/bnethashconv.h, src/common/d2cs_bnetd_protocol.h, src/common/d2cs_d2gs_character.h, src/common/d2cs_d2gs_protocol.h, src/common/d2cs_protocol.h, src/common/packet_buffer.cpp, src/common/tracker.h, src/common/bnetsrp3.h, src/common/bnethashconv.cpp, src/common/rlimit.cpp, src/common/bnettime.cpp, src/common/bnethash.cpp, src/common/packet_buffer.cpp, src/common/field_sizes.h","Type definitions - move to src/core/types/"
bnet_protocol.h,keep-wire,"src/common/anongame_protocol.h","Wire protocol header - backward compat wrapper"
bnethash.cpp,plan-08,"src/common/bnethashconv.cpp, src/infra/legacy_crypto/src/bnet_session_hasher.cpp","Crypto implementation - defer to Plan 08"
bnethash.h,plan-08,"src/common/bnethashconv.h, src/common/bnethash.cpp, src/common/bnetsrp3.cpp, src/infra/legacy_crypto/src/bnet_session_hasher.cpp","Crypto header - defer to Plan 08"
bnethashconv.cpp,plan-08,"src/common/bnethashconv.cpp","Crypto conversion - defer to Plan 08"
bnethashconv.h,plan-08,"src/common/bnethashconv.cpp","Crypto conversion header - defer to Plan 08"
bnetsrp3.cpp,plan-08,"src/common/bnetsrp3.cpp","Crypto SRP3 - defer to Plan 08"
bnetsrp3.h,plan-08,"src/common/bnetsrp3.cpp","Crypto SRP3 header - defer to Plan 08"
bnettime.cpp,move-core,"src/common/bnettime.cpp","Time utilities - move to src/core/time/"
bnettime.h,move-core,"src/common/bnettime.cpp","Time utilities header - move to src/core/time/"
bot_protocol.h,keep-wire,"No direct consumers found","Wire protocol header - keep or move to src/protocol/bnet/include/"
conf.cpp,move-core,"src/common/conf.cpp","Configuration - move to src/core/config/"
conf.h,move-core,"src/common/conf.cpp","Configuration header - move to src/core/config/"
d2char_checksum.cpp,move-core,"src/common/d2char_checksum.cpp","D2 character checksum - move to src/protocol/d2/util/"
d2char_checksum.h,move-core,"src/common/d2char_checksum.cpp","D2 character checksum header - move to src/protocol/d2/util/"
d2char_file.h,keep-wire,"No direct consumers found","D2 character file format - keep or move to src/protocol/d2/include/"
d2cs_bnetd_protocol.h,keep-wire,"src/app/d2cs/src/send_authreply_bnetd_bridge.cpp, src/app/d2cs/src/send_gameinforeply_bnetd_bridge.cpp, src/app/d2cs/src/send_init_bnetd_bridge.cpp","Wire protocol header - move to src/protocol/d2/include/"
d2cs_d2dbs_ladder.h,keep-wire,"No direct consumers found","Wire protocol header - move to src/protocol/d2/include/"
d2cs_d2gs_character.h,keep-wire,"src/app/d2cs/src/send_handle_d2gs_bridges.cpp","Wire protocol header - move to src/protocol/d2/include/"
d2cs_d2gs_protocol.h,keep-wire,"src/app/d2cs/src/send_handle_d2gs_bridges.cpp, src/protocol/d2cs/src/codec.cpp","Wire protocol header - move to src/protocol/d2/include/"
d2cs_protocol.h,keep-wire,"src/app/d2cs/src/send_charloginreply_bridge.cpp, src/app/d2cs/src/send_createcharreply_bridge.cpp, src/app/d2cs/src/send_creategamereply_bridge.cpp, src/app/d2cs/src/send_joingamereply_bridge.cpp, src/app/d2cs/src/send_listreply_bridges.cpp, src/app/d2cs/src/send_loginreply_bridge.cpp, src/app/d2cs/src/send_simple_replies.cpp, src/protocol/d2cs/src/codec.cpp","Wire protocol header - move to src/protocol/d2/include/"
d2game_protocol.h,keep-wire,"src/protocol/d2gs/src/codec.cpp","Wire protocol header - move to src/protocol/d2/include/"
elist.h,delete,"src/common/fdwatch.h, src/common/rcm.h, src/common/rcm.cpp","Embedded list - replace with std::list or std::vector"
eventlog.cpp,delete,"src/common/eventlog.cpp","Eventlog shim - v3 uses core/log/"
eventlog.h,delete,"src/common/eventlog.cpp, src/common/list.cpp, src/common/hashtable.cpp, src/common/queue.cpp, src/common/network.cpp, src/common/packet_reader.cpp, src/common/packet_buffer.cpp, src/common/packet_writer.cpp, src/common/hexdump.cpp, src/common/fdwatch_select.cpp, src/common/fdwatch_poll.cpp, src/common/fdwatch_kqueue.cpp, src/common/fdwatch_epoll.cpp, src/common/addr.cpp, src/common/bnettime.cpp, src/common/bn_type.cpp, src/common/conf.cpp, src/common/give_up_root_privileges.cpp, src/common/bnethash.cpp, src/common/bnethashconv.cpp, src/common/bnetsrp3.cpp, src/common/xstring.cpp, src/common/tag.cpp, src/common/token.cpp, src/common/trans.cpp, src/common/rlimit.cpp, src/common/peerchat.cpp, src/common/gui_printf.cpp, src/common/rcm.cpp, src/common/fdwatch.cpp, src/common/wolhash.cpp, src/win32/winmain.cpp, src/win32/winmain/gui_window.cpp, src/win32/winmain/gui_dialogs.cpp, src/win32/winmain/gui_log.cpp, src/win32/winmain/gui_commands.cpp, src/win32/d2cs_winmain.cpp, src/win32/d2dbs_winmain.cpp","Eventlog shim - v3 uses core/log/"
fdwatch.cpp,move-infra-net,"src/common/fdwatch.cpp","File descriptor watch - move to src/infra/net/"
fdwatch.h,move-infra-net,"src/common/fdwatch.cpp, src/common/fdwatch_select.h, src/common/fdwatch_poll.h, src/common/fdwatch_kqueue.h, src/common/fdwatch_epoll.h","File descriptor watch header - move to src/infra/net/"
fdwatch_epoll.cpp,move-infra-net,"src/common/fdwatch.cpp","EPOLL backend - move to src/infra/net/"
fdwatch_epoll.h,move-infra-net,"src/common/fdwatch.cpp","EPOLL backend header - move to src/infra/net/"
fdwatch_kqueue.cpp,move-infra-net,"src/common/fdwatch.cpp","KQUEUE backend - move to src/infra/net/"
fdwatch_kqueue.h,move-infra-net,"src/common/fdwatch.cpp","KQUEUE backend header - move to src/infra/net/"
fdwatch_poll.cpp,move-infra-net,"src/common/fdwatch.cpp","POLL backend - move to src/infra/net/"
fdwatch_poll.h,move-infra-net,"src/common/fdwatch.cpp","POLL backend header - move to src/infra/net/"
fdwatch_select.cpp,move-infra-net,"src/common/fdwatch.cpp","SELECT backend - move to src/infra/net/"
fdwatch_select.h,move-infra-net,"src/common/fdwatch.cpp","SELECT backend header - move to src/infra/net/"
fdwbackend.cpp,move-infra-net,"src/common/fdwatch.cpp","FDWatch backend - move to src/infra/net/"
fdwbackend.h,move-infra-net,"src/common/fdwatch.cpp","FDWatch backend header - move to src/infra/net/"
field_sizes.h,keep-wire,"src/common/d2cs_d2dbs_ladder.h, src/common/d2cs_d2gs_character.h, src/common/packet_buffer.cpp, src/common/packet_reader.cpp, src/common/packet_writer.cpp, src/common/network.cpp","Wire protocol field sizes - keep or move to src/protocol/common/"
file_protocol.h,keep-wire,"src/protocol/file/src/bnftp_fsm.cpp, src/protocol/file/src/codec.cpp","Wire protocol header - move to src/protocol/file/include/"
flags.h,move-core,"No direct consumers found","Flags utilities - move to src/core/util/"
give_up_root_privileges.cpp,move-infra-process,"src/common/give_up_root_privileges.cpp","Process privileges - move to src/infra/process/"
give_up_root_privileges.h,move-infra-process,"src/common/give_up_root_privileges.cpp","Process privileges header - move to src/infra/process/"
gui_printf.cpp,delete,"src/win32/winmain/gui_log.cpp, src/win32/d2cs_winmain.cpp, src/win32/d2dbs_winmain.cpp","GUI printf shim - Windows-only, can be deleted or moved to src/win32/"
gui_printf.h,delete,"src/common/gui_printf.cpp, src/win32/winmain/gui_log.cpp, src/win32/d2cs_winmain.cpp, src/win32/d2dbs_winmain.cpp","GUI printf header - Windows-only"
hash_tuple.hpp,move-core,"No direct consumers found","Hash tuple utility - move to src/core/util/ or delete if unused"
hashtable.cpp,delete,"src/common/hashtable.cpp","Hashtable - replace with std::unordered_map"
hashtable.h,delete,"src/common/hashtable.cpp","Hashtable header - replace with std::unordered_map"
hexdump.cpp,move-core,"src/common/eventlog.cpp, src/common/hexdump.cpp","Hexdump utility - move to src/core/debug/"
hexdump.h,move-core,"src/common/eventlog.cpp, src/common/hexdump.cpp","Hexdump header - move to src/core/debug/"
init_protocol.h,keep-wire,"No direct consumers found","Wire protocol header - keep or move to src/protocol/bnet/include/"
introtate.h,move-core,"src/common/bnethash.cpp","Rotate utility - move to src/core/util/"
irc_protocol.h,keep-wire,"No direct consumers found","Wire protocol header - move to src/protocol/irc/include/"
list.cpp,delete,"src/common/list.cpp","List container - replace with std::list or std::vector"
list.h,delete,"src/common/list.cpp, src/common/addr.cpp, src/win32/winmain/gui_dialogs.cpp, src/win32/winmain/gui_commands.cpp","List container header - replace with std::list or std::vector"
lstr.h,move-core,"src/common/packet_writer.cpp","Limited string - move to src/core/strings/"
network.cpp,move-infra-net,"src/common/network.cpp","Network utilities - move to src/infra/net/"
network.h,move-infra-net,"src/common/network.cpp","Network utilities header - move to src/infra/net/"
packet.cpp,keep-wire,"src/common/packet_buffer.cpp, src/common/packet_reader.cpp, src/common/packet_writer.cpp, src/common/packet.cpp","Packet utilities - keep in src/common/ or move to src/protocol/common/"
packet.h,keep-wire,"src/common/packet_buffer.cpp, src/common/packet_reader.cpp, src/common/packet_writer.cpp, src/common/packet.cpp, src/common/queue.h, src/common/network.h, src/common/hexdump.cpp, src/app/d2cs/src/send_packet_bridge_link.cpp, src/app/d2dbs/src/send_packet_bridge_link.cpp","Packet utilities header - keep in src/common/ or move to src/protocol/common/"
packet_buffer.cpp,keep-wire,"src/common/packet_buffer.cpp","Packet buffer implementation - keep or move to src/protocol/common/"
packet_reader.cpp,keep-wire,"src/common/packet_reader.cpp","Packet reader implementation - keep or move to src/protocol/common/"
packet_writer.cpp,keep-wire,"src/common/packet_writer.cpp","Packet writer implementation - keep or move to src/protocol/common/"
peerchat.cpp,move-core,"src/common/peerchat.cpp","Peerchat utilities - move to src/core/util/ or delete if unused"
peerchat.h,move-core,"src/common/peerchat.cpp","Peerchat header - move to src/core/util/ or delete if unused"
proginfo.cpp,move-core,"src/common/proginfo.cpp","Program info - move to src/core/util/"
proginfo.h,move-core,"src/common/proginfo.cpp","Program info header - move to src/core/util/"
queue.cpp,delete,"src/common/queue.cpp","Queue container - replace with std::deque or std::queue"
queue.h,delete,"src/common/queue.cpp","Queue container header - replace with std::deque or std::queue"
rcm.cpp,move-core,"src/common/rcm.cpp","RCM utilities - move to src/core/util/ or delete if unused"
rcm.h,move-core,"src/common/rcm.cpp","RCM header - move to src/core/util/ or delete if unused"
rlimit.cpp,move-infra-process,"src/common/rlimit.cpp, src/common/fdwatch.cpp","Resource limits - move to src/infra/process/"
rlimit.h,move-infra-process,"src/common/rlimit.cpp, src/common/fdwatch.cpp","Resource limits header - move to src/infra/process/"
setup_after.h,move-core,"All files in src/common/","Setup header - move to src/core/compat/ or keep in src/common/"
setup_before.h,move-core,"All files in src/common/","Setup header - move to src/core/compat/ or keep in src/common/"
systemerror.cpp,move-core,"src/common/systemerror.cpp","System error utilities - move to src/core/error/"
systemerror.h,move-core,"src/common/systemerror.cpp","System error header - move to src/core/error/"
tag.cpp,move-core,"src/common/tag.cpp","Tag utilities - move to src/core/types/"
tag.h,move-core,"src/common/tag.cpp","Tag header - move to src/core/types/"
tag_clienttag.cpp,move-core,"src/common/tag.cpp","Client tag implementation - move to src/core/types/"
tag_core.cpp,move-core,"src/common/tag.cpp","Tag core implementation - move to src/core/types/"
tag_wol.cpp,move-core,"src/common/tag.cpp","WOL tag implementation - move to src/core/types/"
token.cpp,move-core,"src/common/token.cpp","Token utilities - move to src/core/util/"
token.h,move-core,"src/common/token.cpp","Token header - move to src/core/util/"
tracker.h,keep-wire,"No direct consumers found","Tracker header - keep or move to src/protocol/common/"
trans.cpp,move-core,"src/common/trans.cpp","Translation utilities - move to src/core/util/"
trans.h,move-core,"src/common/trans.cpp","Translation header - move to src/core/util/"
udp_protocol.h,keep-wire,"src/protocol/udp/src/codec.cpp","Wire protocol header - move to src/protocol/udp/include/"
util.cpp,move-core,"src/common/util.cpp","Utility functions - move to src/core/util/"
util.h,move-core,"src/common/util.cpp, src/common/conf.cpp, src/common/addr.cpp, src/common/trans.cpp, src/common/bnetsrp3.cpp","Utility header - move to src/core/util/"
util_file.cpp,move-core,"src/common/util.cpp","File utilities - move to src/core/util/"
util_hex.cpp,move-core,"src/common/util.cpp","Hex utilities - move to src/core/encoding/"
util_string.cpp,move-core,"src/common/util.cpp","String utilities - move to src/core/strings/"
util_time.cpp,move-core,"src/common/util.cpp","Time utilities - move to src/core/time/"
version.h,move-core,"src/win32/winmain.cpp, src/win32/d2cs_winmain.cpp, src/win32/d2dbs_winmain.cpp","Version header - move to src/core/version/"
wolhash.cpp,plan-08,"src/common/wolhash.cpp","Crypto WOL hash - defer to Plan 08"
wolhash.h,plan-08,"src/common/wolhash.cpp","Crypto WOL hash header - defer to Plan 08"
wol_gameres_protocol.h,keep-wire,"src/protocol/wolgameres/src/codec.cpp","Wire protocol header - move to src/protocol/wolgameres/include/"
xstring.cpp,move-core,"src/common/xstring.cpp, src/common/tag.cpp, src/common/bnetsrp3.cpp","String utilities - move to src/core/strings/"
xstring.h,move-core,"src/common/xstring.cpp, src/common/tag.cpp, src/common/bnetsrp3.cpp","String header - move to src/core/strings/"
bnet_protocol/,keep-wire,"src/protocol/bnet/src/anongame.cpp, src/protocol/bnet/src/anongame_tags.cpp, src/protocol/bnet/src/codec_extended.cpp, src/protocol/bnet/src/event_dispatcher.cpp, src/protocol/bnet/src/fsm.cpp","Wire protocol headers - move to src/protocol/bnet/include/"
