symbol,legacy_file,v3_callee,loc,handler_family,status,notes
send_packet_bridge,integration/legacy_d2cs/src/send_packet_bridge.cpp,protocol_d2cs,55,dispatcher,MIGRATE,"Thin dispatcher wrapper - move to app/d2cs/src/"
send_loginreply_bridge,integration/legacy_d2cs/src/send_loginreply_bridge.cpp,protocol_d2cs,unknown,reply_handler,MIGRATE,"Reply dispatcher - move to app/d2cs/src/"
send_createcharreply_bridge,integration/legacy_d2cs/src/send_createcharreply_bridge.cpp,protocol_d2cs,unknown,reply_handler,MIGRATE,"Reply dispatcher - move to app/d2cs/src/"
send_charloginreply_bridge,integration/legacy_d2cs/src/send_charloginreply_bridge.cpp,protocol_d2cs,unknown,reply_handler,MIGRATE,"Reply dispatcher - move to app/d2cs/src/"
send_creategamereply_bridge,integration/legacy_d2cs/src/send_creategamereply_bridge.cpp,protocol_d2cs,unknown,reply_handler,MIGRATE,"Reply dispatcher - move to app/d2cs/src/"
send_joingamereply_bridge,integration/legacy_d2cs/src/send_joingamereply_bridge.cpp,protocol_d2cs,unknown,reply_handler,MIGRATE,"Reply dispatcher - move to app/d2cs/src/"
send_init_bnetd_bridge,integration/legacy_d2cs/src/send_init_bnetd_bridge.cpp,protocol_d2cs,unknown,init_handler,MIGRATE,"Init dispatcher - move to app/d2cs/src/"
send_authreply_bnetd_bridge,integration/legacy_d2cs/src/send_authreply_bnetd_bridge.cpp,protocol_d2cs,unknown,reply_handler,MIGRATE,"Auth reply dispatcher - move to app/d2cs/src/"
send_gameinforeply_bnetd_bridge,integration/legacy_d2cs/src/send_gameinforeply_bnetd_bridge.cpp,protocol_d2cs,unknown,reply_handler,MIGRATE,"Game info reply dispatcher - move to app/d2cs/src/"
send_handle_d2gs_bridges,integration/legacy_d2cs/src/send_handle_d2gs_bridges.cpp,protocol_d2cs,unknown,d2gs_handler,MIGRATE,"D2GS handler dispatcher - move to app/d2cs/src/"
send_simple_replies,integration/legacy_d2cs/src/send_simple_replies.cpp,protocol_d2cs,unknown,reply_handler,MIGRATE,"Simple reply dispatcher - move to app/d2cs/src/"
send_listreply_bridges,integration/legacy_d2cs/src/send_listreply_bridges.cpp,protocol_d2cs,unknown,reply_handler,MIGRATE,"List reply dispatcher - move to app/d2cs/src/"
send_ladderreply_bridge,integration/legacy_d2cs/src/send_ladderreply_bridge.cpp,protocol_d2cs,unknown,reply_handler,MIGRATE,"Ladder reply dispatcher - move to app/d2cs/src/"
send_charlistreply_bridge,integration/legacy_d2cs/src/send_charlistreply_bridge.cpp,protocol_d2cs,unknown,reply_handler,MIGRATE,"Char list reply dispatcher - move to app/d2cs/src/"
send_outbound_obs_bridges,integration/legacy_d2cs/src/send_outbound_obs_bridges.cpp,protocol_d2cs,unknown,observation,MIGRATE,"Observation bridge - move to app/d2cs/src/"
d2cs_prefs_bridge,integration/legacy_d2cs/src/d2cs_prefs_bridge.cpp,domain_d2cs,unknown,config,MIGRATE,"Preferences bridge - move to app/d2cs/src/"
