symbol,legacy_file,v3_callee,loc,test_coverage,handler_family,status,notes
pvpgn_v3_send_raw_text,send_raw_text_bridge.cpp,application/chat,25,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_raw_text2,send_raw_text_bridge.cpp,application/chat,25,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_message_dispatch,message_dispatch_bridge.cpp,application/chat,15,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_command_dispatch,command_dispatch_bridge.cpp,application/admin_commands,350,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_server_dispatch,server_dispatch_bridge.cpp,application/init,20,NO,lifecycle,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_requiredwork,send_requiredwork_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_anongame_infos_get,anongame_infos_get_bridge.cpp,application/anongame_inforeply,30,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_gamelistreply,send_gamelistreply_bridge.cpp,application/game,50,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_clan_motdreply,send_clan_motdreply_bridge.cpp,application/social,25,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_userlog_init,userlog_bridge.cpp,application/init,15,NO,lifecycle,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_userlog_append,userlog_bridge.cpp,application/init,20,NO,lifecycle,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_progident_dispatch,progident_dispatch_bridge.cpp,application/init,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_authreq1_server,send_authreq1_server_bridge.cpp,application/auth,30,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_friends_dispatch,friends_dispatch_bridge.cpp,application/social,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_auth_dispatch,auth_dispatch_bridge.cpp,application/auth,20,PARTIAL,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_versioncheck_load,versioncheck_bridge.cpp,application/init,20,NO,lifecycle,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_versioncheck_unload,versioncheck_bridge.cpp,application/init,15,NO,lifecycle,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_clandisbandreply,send_clandisbandreply_bridge.cpp,application/social,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_ladder_dispatch,ladder_dispatch_bridge.cpp,application/ladder,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_handshake_dispatch,handshake_dispatch_bridge.cpp,application/auth,20,PARTIAL,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_bot_dispatch,bot_dispatch_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_chatevent_compose,send_chatevent_compose_bridge.cpp,application/chat,40,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_startgame1ack,send_startgame1ack_bridge.cpp,application/game,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_tournament,tournament_bridge.cpp,application/tournament,50,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_ladderreply,send_ladderreply_bridge.cpp,application/ladder,40,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_telemetry_dispatch,telemetry_dispatch_bridge.cpp,application/init,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_clan_dispatch,clan_dispatch_bridge.cpp,application/social,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_authreply1,send_authreply1_bridge.cpp,application/auth,25,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_encode_clanmemberupdate,encode_clanmemberupdate_bridge.cpp,application/social,30,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_startgame3ack,send_startgame3ack_bridge.cpp,application/game,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_atacceptdecline,send_atacceptdecline_bridge.cpp,application/social,25,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_clan_membernewchief_reply,send_clan_membernewchief_reply_bridge.cpp,application/social,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_passemail_dispatch,passemail_dispatch_bridge.cpp,application/email_management,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_d2cs_link_dispatch,d2cs_link_dispatch_bridge.cpp,application/init,15,NO,other,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_gamereport,game_report_bridge.cpp,application/game,30,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_telnet_dispatch,telnet_dispatch_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_loginreply1,send_loginreply_bridge.cpp,application/auth,25,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_loginreply2,send_loginreply_bridge.cpp,application/auth,25,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_channel_state_bridge,channel_state_bridge.cpp,application/chat,40,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_joinchannel,channel_state_bridge.cpp,application/chat,30,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_leavechannel,channel_state_bridge.cpp,application/chat,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_clanmember_remove_reply,send_clanmember_remove_reply_bridge.cpp,application/social,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_atfriendscreen,send_atfriendscreen_bridge.cpp,application/social,25,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_ad_dispatch,ad_dispatch_bridge.cpp,application/ads,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_friendmove_ack,send_friendmove_ack_bridge.cpp,application/social,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_adreply,send_adreply_bridge.cpp,application/ads,30,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_file_dispatch,file_dispatch_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_frienddel_ack,send_frienddel_ack_bridge.cpp,application/social,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_charlistreply,send_charlistreply_bridge.cpp,application/init,25,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_changepassack,send_changepassack_bridge.cpp,application/auth,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_channellist,send_channellist_bridge.cpp,application/chat,30,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_anongame_dispatch,anongame_dispatch_bridge.cpp,application/anongame_inforeply,40,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_frienddel_ack,send_frienddel_ack_bridge.cpp,application/social,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_adreply,send_adreply_bridge.cpp,application/ads,30,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_friendinfo,send_friendinfo_bridge.cpp,application/social,30,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_ad_dispatch,ad_dispatch_bridge.cpp,application/ads,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_profile_dispatch,profile_dispatch_bridge.cpp,application/profile,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_fileinforeply,send_fileinforeply_bridge.cpp,application/init,40,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_pingreply,send_fileinforeply_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_get_icon,get_icon_bridge.cpp,application/icon_table,100,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_compreply,send_handshake_bridge.cpp,application/auth,20,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_sessionkey1,send_handshake_bridge.cpp,application/auth,20,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_sessionkey2,send_handshake_bridge.cpp,application/auth,20,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_set_icon,set_icon_bridge.cpp,application/icon_table,100,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_ads_pick_apply,ads_bridge.cpp,application/ads,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_ads_click_apply,ads_bridge.cpp,application/ads,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_anongame_cancel,send_anongame_cancel_bridge.cpp,application/anongame_inforeply,25,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_authreply109,send_authreply109_bridge.cpp,application/auth,25,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_stub_dispatch,stub_dispatch_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_runprog_open,runprog_bridge.cpp,application/init,20,NO,lifecycle,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_runprog_close,runprog_bridge.cpp,application/init,15,NO,lifecycle,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_anongame_lobby_apply,anongame_lobby_bridge.cpp,application/anongame_lobby,30,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_clan_profile,clan_profile_bridge.cpp,application/social,50,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_authinfo_reply,send_authinfo_reply_bridge.cpp,application/auth,30,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
